brand,count
Ford,38353
Mercedes-Benz,32047
BMW,28314
Chevrolet,27033
Audi,18176
Porsche,17765
Land,15873
Toyota,14934
Lexus,14372
Jeep,10886
Cadillac,7733
RAM,7002
Nissan,6604
Tesla,6125
INFINITI,5399
GMC,5309
Dodge,5204
Mazda,4489
Kia,4247
Lincoln,4016
Subaru,3972
Acura,3849
Honda,3537
Hyundai,3353
Volkswagen,2987
Jaguar,2253
Bentley,1944
MINI,1761
Genesis,1612
Buick,1591
Maserati,1558
Lamborghini,1356
Volvo,1299
Chrysler,1241
Alfa,1149
Rivian,980
Rolls-Royce,944
Mitsubishi,918
Pontiac,879
Hummer,862
Ferrari,610
McLaren,408
Aston,382
Saturn,245
Scion,182
Lucid,111
Mercury,96
FIAT,81
Lotus,71
Saab,33
Karma,27
Plymouth,11
Suzuki,10
Bugatti,10
Maybach,10
Polestar,7
smart,3
