Feature,Importance
milage,690
model_year,413
brand_modified,389
Horsepower,366
Engine_Size,300
Speed,128
Cylinder_Count,78
int_black,44
clean_title,40
ext_black,40
Transmission_Type_A/T,31
ext_green,31
int_beige,29
ext_white,29
is_real_data,29
fuel_type,28
Special_Mode_Auto-Shift,27
int_red,25
int_white,22
accident_At least 1 accident or damage reported,22
ext_metallic,20
Transmission_Type_Manual,19
ext_blue,19
int_blue,17
ext_red,17
Transmission_Type_Automatic,16
ext_gray,16
ext_silver,15
int_green,13
accident_None reported,12
Transmission_Type_not_given,12
int_gray,12
accident_nan,10
Special_Mode_not_given,9
ext_beige,8
Transmission_Type_M/T,8
Special_Mode_Dual Shift Mode,6
int_ebony,4
ext_yellow,4
int_brown,2
int_silver,0
ext_orange,0
Transmission_Type_CVT,0
ext_gold,0
int_gold,0
int_orange,0
Special_Mode_Overdrive,0
ext_brown,0
